iter	RMSE
0	1.001761804
1	1.001405225
2	1.001107748
3	1.00061702
4	1.000249462
5	0.9998106727
6	0.9994230938
7	0.999143163
8	0.9988650514
9	0.9984461187
10	0.9982286806
11	0.9979446611
12	0.9974514974
13	0.9971456489
14	0.9968479435
15	0.9965875723
16	0.9962779072
17	0.9959603574
18	0.995747071
19	0.9953965312
20	0.9951486924
21	0.99492249
22	0.9947368057
23	0.994502955
24	0.9943445333
25	0.9942135197
26	0.9939794858
27	0.9938254936
28	0.9936713795
29	0.9935042911
30	0.993182162
31	0.992925514
32	0.9927685085
33	0.9925665522
34	0.9922990942
35	0.9921789253
36	0.9919991866
37	0.9918292942
38	0.9916709253
39	0.991261376
40	0.9911260415
41	0.99098219
42	0.9905731386
43	0.990365628
44	0.9902220507
45	0.9900311033
46	0.989802015
47	0.9896704759
48	0.9893838847
49	0.9891781627
50	0.9888449684
51	0.9885660649
52	0.9882303914
53	0.9880563649
54	0.9879572146
55	0.9878484281
56	0.9876262481
57	0.987328231
58	0.9872003241
59	0.9870743857
60	0.9869150668
61	0.9867456643
62	0.9866265912
63	0.9864950676
64	0.9863502318
65	0.986164001
66	0.9859624729
67	0.9858288937
68	0.9857078277
69	0.9855366984
70	0.9853806063
71	0.9852207297
72	0.985048915
73	0.9849254115
74	0.9848116081
75	0.9846545515
76	0.9845528324
77	0.9844328851
78	0.9842809482
79	0.9841480752
80	0.9839879654
81	0.9838699747
82	0.9837991161
83	0.9835287037
84	0.9832808753
85	0.9830722593
86	0.9829658129
87	0.9828552959
88	0.9826982132
89	0.9824403477
90	0.9822820377
91	0.9821307573
92	0.9820363484
93	0.9818346329
94	0.9817579645
95	0.9816415025
96	0.9815354788
97	0.9814246838
98	0.9812970199
99	0.9811411141
100	0.9810509544
