iter	Passed	Remaining
0	195	194837
1	222	110967
2	252	83841
3	282	70311
4	313	62347
5	344	57076
6	374	53093
7	404	50106
8	432	47619
9	462	45802
10	488	43904
11	514	42358
12	543	41231
13	570	40202
14	597	39213
15	624	38405
16	651	37683
17	678	37015
18	703	36321
19	729	35755
20	759	35384
21	787	34992
22	813	34550
23	841	34204
24	872	34032
25	902	33792
26	929	33491
27	956	33217
28	982	32893
29	1010	32673
30	1041	32564
31	1065	32226
32	1095	32093
33	1123	31906
34	1149	31686
35	1177	31539
36	1205	31367
37	1232	31214
38	1261	31077
39	1297	31128
40	1334	31218
41	1367	31202
42	1396	31075
43	1424	30942
44	1453	30841
45	1477	30645
46	1507	30567
47	1537	30490
48	1564	30360
49	1595	30307
50	1622	30196
51	1651	30114
52	1678	29989
53	1703	29846
54	1732	29771
55	1759	29665
56	1789	29609
57	1815	29482
58	1843	29405
59	1872	29343
60	1902	29281
61	1932	29235
62	1959	29148
63	1987	29067
64	2016	28999
65	2048	28989
66	2079	28961
67	2110	28922
68	2136	28832
69	2161	28711
70	2188	28640
71	2215	28550
72	2242	28478
73	2271	28426
74	2302	28399
75	2334	28380
76	2364	28340
77	2395	28311
78	2429	28325
79	2459	28284
80	2490	28253
81	2530	28323
82	2559	28276
83	2587	28218
84	2617	28172
85	2650	28171
86	2683	28156
87	2712	28106
88	2743	28077
89	2774	28058
90	2807	28047
91	2837	28003
92	2868	27973
93	2900	27959
94	2930	27914
95	2961	27887
96	2994	27879
97	3027	27869
98	3057	27825
99	3089	27809
100	3124	27810
